1138300582	20221105	202211	2022	2022.8356											GOV	PRESIDENT						GOV			0	057	057	05	1	8.0	10	1	10	2.67515923566879	0								2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20231105221500	https://www.dailyherald.com/entlife/20231105/thank-our-veterans-by-improving-health-care
1138300583	20221105	202211	2022	2022.8356	GBR	UNITED KINGDOM	GBR																		0	111	111	11	3	-2.0	4	1	4	-2.11581291759466	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	0								4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20231105221500	https://www.dailymail.co.uk/tvshowbiz/article-12713245/Chris-Packham-Jeremy-Clarkson-EXPLOSIVE-rant-David-Attenborough.html
1138300584	20221105	202211	2022	2022.8356	GBR	UNITED KINGDOM	GBR																		0	112	112	11	3	-2.0	4	1	4	-2.11581291759466	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	0								4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20231105221500	https://www.dailymail.co.uk/tvshowbiz/article-12713245/Chris-Packham-Jeremy-Clarkson-EXPLOSIVE-rant-David-Attenborough.html
1138300585	20221105	202211	2022	2022.8356	GOV	PRESIDENT						GOV													0	057	057	05	1	8.0	10	1	10	2.67515923566879	3	North Chicago, Illinois, United States	US	USIL	IL097	42.3256	-87.8412	414578	0								3	North Chicago, Illinois, United States	US	USIL		42.3256	-87.8412	414578	20231105221500	https://www.dailyherald.com/entlife/20231105/thank-our-veterans-by-improving-health-care
1138300586	20221105	202211	2022	2022.8356	JOR	JORDAN	JOR																		1	010	010	01	1	0.0	5	1	5	-1.11111111111111	1	Jordan	JO	JO		31	36	JO	0								1	Jordan	JO	JO		31	36	JO	20231105221500	https://www.dailymail.co.uk/tvshowbiz/article-12713265/Strictly-Come-Dancings-Karen-Hauer-performs-emotional-routine-love-song-echoes-heartbreak-weeks-ditching-wedding-ring.html
1138300587	20221105	202211	2022	2022.8356	MNCUSAMED	GOOGLE	USA					MNC	MED		BUS	BUSINESS						BUS			1	090	090	09	2	-2.0	10	1	10	-1.01010101010101	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20231105221500	https://www.afr.com/companies/media-and-marketing/the-aussie-who-testified-against-google-for-the-us-government-20231025-p5eezw
1138300588	20231006	202310	2023	2023.7562											AUS	AUSTRALIA	AUS								0	036	036	03	1	4.0	4	1	4	-3.52811466372657	0								4	Ellerston, New South Wales, Australia	AS	AS02	5096	-31.8167	151.317	-1571952	4	Ellerston, New South Wales, Australia	AS	AS02	5096	-31.8167	151.317	-1571952	20231105221500	https://www.afr.com/markets/equity-markets/why-chris-kourtis-just-bought-csl-and-resmed-20231101-p5egon
1138300589	20231006	202310	2023	2023.7562	AUS	AUSTRALIA	AUS																		0	036	036	03	1	4.0	4	1	4	-3.52811466372657	4	Ellerston, New South Wales, Australia	AS	AS02	5096	-31.8167	151.317	-1571952	0								4	Ellerston, New South Wales, Australia	AS	AS02	5096	-31.8167	151.317	-1571952	20231105221500	https://www.afr.com/markets/equity-markets/why-chris-kourtis-just-bought-csl-and-resmed-20231101-p5egon
1138300590	20231006	202310	2023	2023.7562	BUS	BUSINESS						BUS			USA	UNITED STATES	USA								0	173	173	17	4	-5.0	4	1	4	-4.7244094488189	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20231105221500	https://myb106.com/ixp/812/p/joe-budden-admits-punched-rumors-jumped-club/
1138300591	20231006	202310	2023	2023.7562	CVL	COMMUNITY						CVL													1	010	010	01	1	0.0	6	1	6	2.01005025125628	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	0								2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20231105221500	https://www.duncanbanner.com/community/dobson-fiber-addresses-service-plans-in-county/article_536c0842-7a9a-11ee-a6d4-177e944ab06a.html
1138300592	20231006	202310	2023	2023.7562	USA	UNITED STATES	USA								CVL	COMMUNITY						CVL			1	010	010	01	1	0.0	4	1	4	2.01005025125628	3	Stephens County, Oklahoma, United States	US	USOK	OK137	34.4668	-97.8503	1101856	3	Stephens County, Oklahoma, United States	US	USOK		34.4668	-97.8503	1101856	3	Stephens County, Oklahoma, United States	US	USOK		34.4668	-97.8503	1101856	20231105221500	https://www.duncanbanner.com/community/dobson-fiber-addresses-service-plans-in-county/article_536c0842-7a9a-11ee-a6d4-177e944ab06a.html
1138300593	20231029	202310	2023	2023.8192	COL	COLOMBIA	COL																		1	073	073	07	2	7.4	2	1	2	-4	1	Venezuela	VE	VE		8	-66	VE	0								1	Colombia	CO	CO		4	-72	CO	20231105221500	https://www.france24.com/en/live-news/20231105-diaz-implores-group-to-release-father-after-scoring-on-liverpool-return
1138300594	20231029	202310	2023	2023.8192	GBR	UNITED KINGDOM	GBR																		0	010	010	01	1	0.0	3	1	3	1.12	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	0								4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20231105221500	https://nypost.com/2023/11/05/entertainment/prince-harry-meghan-markle-marriage-wont-last-decades-graydon-carter/
1138300595	20231029	202310	2023	2023.8192	LEG	SENATE						LEG			AFR	AFRICA	AFR								1	020	020	02	1	3.0	8	1	8	-4.99124343257443	4	Bantay, Ðc L?k, Vietnam, Republic Of	VM	VM88	73997	12.8833	108.7	-3707459	4	Bantay, Ðc L?k, Vietnam, Republic Of	VM	VM88	73997	12.8833	108.7	-3707459	4	Bantay, Ðc L?k, Vietnam, Republic Of	VM	VM88	73997	12.8833	108.7	-3707459	20231105221500	https://www.bworldonline.com/opinion/2023/11/06/555456/improving-our-african-swine-fever-virus-surveillance/
